Emoji,Status,Date Submitted
 Samsa Central Asian Food,Declined,4/8/2024
"""Inukshuk"" or ""Cairn""",Under Consideration,6/24/2024
*sigh*,decline,4/2/2025
#Ad (text in box),Declined,10/12/2016
20-30 Club Logo,Declined,6/10/2016
2D Barcode,Declined,8/1/2022
3D Glasses Face,Declined,2/27/2018
3d printer,Declined,7/15/2021
3D Printer,decline,4/2/2025
Aboriginal Flag,Declined,4/2/2019
Accessibility,Released as Emoji,5/7/2018
Accordion (A),Released as Emoji,7/24/2017
Accordion (B),Released as Emoji,3/29/2019
Ace of Spades,declined,4/2/2025
Acne,Declined,4/9/2020
Acoustic Guitar,Declined,6/10/2021
Adhesive Bandage,Released as Emoji,4/26/2018
Aerial Drone,Declined,5/10/2022
Afro Hair,Declined,9/10/2019
Afro Hair,decline,4/2/2025
Air Conditioner,Expired,6/7/2019
Air Conditioner,Declined,7/8/2022
Air Conditioner,decline ,4/2/2025
Air Horn,Declined,5/7/2024
Air Hug,decline,4/2/2025
Air Taxi,decline ,4/2/2025
AlAhsa Oasis,Declined,7/28/2022
Alcohol-free glass,Declined,7/30/2024
Allergy,Declined,5/21/2018
Almond,Expired,9/3/2019
Almond,Declined,6/25/2021
Aloe,Declined,9/1/2020
AlSadu,Declined,7/28/2022
AlUla,Declined,7/28/2022
american biscuit,Declined,4/10/2024
AMLA,decline,4/2/2025
Amoeba,Declined,5/17/2021
Anglerfish,Expired,2/27/2018
Angry Crying Face,Declined,4/17/2018
Angry Disbelief Face,Declined,7/22/2020
Angry Poo (A),Declined,2/13/2017
Angry Poo (B),Declined,4/23/2019
Annoyed,Declined,6/1/2021
Antibody,Declined,7/31/2024
anvil,Declined,4/24/2024
APARTMENT,Declined,6/28/2022
Aperitivo Cheers,Declined,5/9/2024
Apple Core / Compost ,Under Consideration,7/31/2024
Arabic Coffee Cup,Declined,7/27/2022
Arcade,Declined,8/31/2021
Archaeology,Declined,8/27/2021
Arm with Birthmark,Declined,7/31/2024
Armadillo (B),decline,4/2/2025
Arrogant Face,Declined,7/31/2022
Arrowhead,Declined,5/21/2018
Arrowhead,Declined,7/31/2024
Artichoke,Declined,8/13/2019
artichoke,Declined,7/15/2022
Artificial Intelligence,decline ,4/2/2025
Asexual Flag,Declined,8/10/2021
ASL Help,Declined,10/30/2020
Assistance Dog,Released as Emoji,1/11/2018
Assyrian flag,Declined,6/17/2020
At Turaif,Declined,7/28/2022
Atom,Declined,4/9/2022
AURORA,Declined,6/24/2022
Australian,Declined,7/7/2017
Australian Rules Football,Declined,7/30/2024
Autism Infinity Symbol,decline,4/2/2025
Auto Rickshaw,Released as Emoji,3/28/2018
Avoid Plastic,decline,4/2/2025
AWAMORI,decline,4/2/2025
Awareness ribbons,Declined,1/8/2018
Awesome Face,Declined,1/3/2018
Axe (A),Released as Emoji,1/3/2018
Axe (B),Declined,3/2/2018
Axolotl,Declined,4/15/2022
Baby Buggy,Declined,5/6/2024
Back-of-head,Declined,4/18/2024
Bacteria,Declined,4/10/2017
Bacteria/Virus,Released as Emoji,2/27/2018
Baffled-Face,Declined,5/4/2022
Bag of Chips,Declined,7/25/2022
bagpipe,declined,4/2/2025
Balance Beam,declined,4/2/2025
Ballet,Released as Emoji,4/12/2018
Ballet Shoes (skintones),Declined,6/17/2020
bamboo,Declined,7/24/2022
Bamboo Steamer,decline,4/2/2025
Bandura,Declined,7/7/2020
Banjo,Released as Emoji,4/17/2018
BANK BOOK,Declined,7/26/2022
Bao,Declined,7/22/2022
BAR,Declined,5/18/2022
Barbecue (A),Declined,11/30/2017
Barbecue (B),Declined,11/14/2018
Barbecue (C),Declined,3/31/2020
Barbed Wire,Declined,8/1/2022
Barbell,Declined,4/16/2019
Barn,Declined,2/3/2020
Barrel,Declined,4/27/2022
baseball bat,Declined,5/22/2024
Basque flag,Declined,6/7/2017
Bathroom Scale,Expired,2/27/2018
Bayern way of life,declined,4/2/2025
BBQ,Declined,6/5/2024
Bean (A),Declined,4/10/2017
Bean (B),Released as Emoji,10/2/2018
Bean (C),Released as Emoji,11/19/2019
Beard,Released as Emoji,9/22/2016
Beaver,Released as Emoji,4/16/2019
beckoning cat,Declined,5/16/2024
beet,Released as Emoji,4/16/2021
Beetle,Released as Emoji,4/23/2019
Beijing Repose,Declined,7/26/2016
Belgian Beer,Declined,3/16/2016
Bell Pepper (Capsicum),Released as Emoji,9/25/2018
Belt,Declined,4/4/2022
Bench,Declined,3/20/2020
Berber flag,Declined,7/6/2017
BeStrong support,Declined,2/2/2016
BINDI EMOJI,Declined,8/31/2021
Binoculars,Declined,5/22/2021
bird footprints,Declined,8/1/2024
Bird Nest,Released as Emoji,2/6/2020
Birth Control Pill (A),Expired,4/18/2018
Birth Control Pill (B),Declined,8/12/2020
Biryani,Declined,3/20/2020
Biscuit,Declined,5/6/2020
Bisexual Flag,Declined,2/4/2020
Bitcoin (emojification),Declined,3/12/2020
Biting Lip,Released as Emoji,4/1/2019
Bitter gourd,Declined,8/25/2021
Black American Heritage,Declined,4/2/2024
Black Cat,Released as Emoji,7/17/2019
black forest girl ,decline,4/2/2025
Black Hole,Under Consideration,4/2/2025
Black Panther,Declined,5/13/2024
Black Pepper,Declined,4/4/2022
Black Sheep,Declined,8/26/2021
Black Swan,Declined,7/15/2022
Blank Emoji,Declined,4/14/2024
"Blessing Gesture  (In short ""Blessy"")",Declined,4/17/2021
Blimp,Declined,1/8/2020
Blissful_face ,decline,4/2/2025
Blobfish,Declined,9/9/2019
Blood bag,Declined,5/16/2017
Blood Bag (B),Declined,12/18/2020
Blood Donor,Expired,2/27/2018
Blood Drop,Released as Emoji,4/3/2018
Blood Pressure,Expired,9/21/2017
Bloody Mary,decline,4/2/2025
Blowing Raspberry Face,Declined,2/26/2019
BLUE FIRE,decline,4/2/2025
Blue Light,Expired,11/20/2018
Blue Rose,Declined,5/18/2024
Blue Sky,Declined,7/29/2024
Blueberries,Released as Emoji,4/23/2019
Bluebonnet,decline,4/2/2025
Blueprint,Declined,1/17/2020
Bluray Disk,Declined,11/7/2017
Blushing Face Blowing Gum,Decline,4/2/2025
board,Declined,5/17/2024
Bologna,Declined,8/22/2019
BONNET,Expired,8/28/2021
BONNET,Expired,6/7/2022
Boomerang,Released as Emoji,11/21/2018
Borscht,Declined,6/16/2021
Bottlecap,Declined,6/1/2022
Bowl with Spoon,Released as Emoji,11/14/2016
Bowls,Expired,12/18/2018
Bowls,decline,4/2/2025
Box Braids,decline,4/2/2025
Boxing Gloves,Released as Emoji,9/17/2015
Bra,Declined,7/28/2024
Braces,Expired,2/20/2018
Braces,Declined,8/10/2021
Braided Bread (Challah),Declined,8/1/2022
Braided Bread (Challah),Declined,8/1/2022
Braille Reading Hand,Declined,5/6/2020
Break / Kit-Kat,Declined,1/7/2016
Breakdance,Declined,5/15/2024
Breakdance,Declined,5/16/2024
Breaking Chain Link,Released as Emoji,7/17/2022
Breaking Point,Declined,6/1/2022
BREASTMILK DROP ,Decline,4/2/2025
Breath Face,Released as Emoji,11/19/2019
Briefs/Shorts,Released as Emoji,4/27/2018
Brittany flag,Declined,6/21/2017
Broccoli,Released as Emoji,11/14/2016
Broken Bone,decline,4/2/2025
Broken Wire,Declined,5/16/2024
Brooks Running,Declined,6/22/2016
"Brown Mushroom (Previous proposal)

",Released as Emoji,5/8/2022
Brush Stroke Cross,decline,4/2/2025
Brushing Off Hands,Declined,7/22/2024
Brussels sprouts,Declined,4/16/2021
Bubble Tea,Released as Emoji,2/5/2019
BUBBLEGUM,Declined,7/31/2024
Bubbles (A),Released as Emoji,3/13/2018
Bubbles (B),Released as Emoji,9/17/2019
Bucket,Released as Emoji,4/9/2019
Buffalo/Bison (A),Released as Emoji,8/23/2016
Buffalo/Bison (B),Declined,2/13/2017
Buffalo/Bison (C),Released as Emoji,4/29/2019
Bull Face,Declined,11/30/2017
Bull Skull,Declined,7/28/2022
bun,Declined,7/3/2024
Bundle of green asparagus,Declined,7/17/2024
Burglar,decline,4/2/2025
Butter (A),Released as Emoji,4/12/2018
Butter (B),Released as Emoji,4/12/2018
BUTTON,Declined,5/14/2022
Cabbage,Declined,4/4/2022
Calculator,Declined,7/29/2022
Camera Off,declined,4/2/2025
Camper,decline,4/2/2025
Can't Look Away Face / Face with Peeking Eye,Released as Emoji,11/12/2019
Canada Goose,decline,4/2/2025
CANCER,Declined,7/31/2024
Candy Cane,Declined,7/30/2024
Candy Corn,Declined,7/30/2024
Canele,Declined,5/22/2024
Cannabis (F),Declined,3/29/2019
Cannabis Leaf,decline ,4/2/2025
Cannabis leaf (marijuana) (A),Declined,8/22/2017
Cannabis leaf (marijuana) (B),Declined,8/22/2017
Cannabis leaf (marijuana) (C),Declined,4/3/2018
Cannabis leaf (marijuana) (D),Declined,4/16/2018
Cannabis Leaf (marijuana) (E),Declined,4/2/2018
Canned Fish,Declined,7/31/2024
Canned Ham,Declined,6/23/2024
Cannoli,Declined,4/23/2019
Cannoli,declined,4/2/2025
Canoeist,Declined,6/19/2017
CANOLA,Declined,7/27/2022
Capybara,decline ,4/2/2025
Capybara (A),Declined,11/21/2017
Capybara (B),Declined,9/1/2020
Caravan,Declined,7/19/2022
Caravan / Motor Home,Expired,9/20/2019
Carbon Footprint,Declined,8/13/2021
Cardinal,Expired,11/13/2018
Cardinal,Declined,4/2/2024
Care Face,Declined,7/31/2024
Caregiving Emoji,Declined,4/4/2024
CARGO BIKE,Declined,4/14/2021
Caring Face,decline,4/2/2025
Carnival Masquerader,decline,4/2/2025
Carpentry Saw,Released as Emoji,5/8/2018
carpet,Declined,7/31/2024
Cashew,Decline,4/2/2025
Casino chip,decline,4/2/2025
Catalonia Flag,Declined,7/26/2016
Catalonia Flag seq,Declined,7/7/2017
Cathedral,Declined,8/25/2021
Cauliflower (A),Declined,11/20/2018
Cauliflower (B),Declined,4/23/2019
Cave,Declined,10/30/2020
Caviar,Declined,2/13/2020
çay,Declined,8/31/2021
Centaur,Declined,7/30/2022
Ceviche,Expired,8/22/2019
Chai,Expired,8/26/2020
chai,Declined,8/30/2021
Chai-Biscuit,Expired,6/7/2018
Chainsaw (A),Declined,11/21/2017
Chainsaw (B),Under Consideration,9/17/2019
Chalkbag,Declined,7/31/2024
challah,Declined,7/29/2022
Chameleon,Declined,2/6/2020
Chameleon,Declined,7/31/2024
Champ,Declined,6/2/2017
charging station,Declined,7/26/2022
Cheek Pulling,Expired,9/19/2017
Cheerleader,Declined,6/18/2021
Cheerleader,decline,4/2/2025
Cheers (Raising Glass),Declined,3/20/2020
Cheesecake,Declined,6/26/2024
Chef's Kiss,Declined,8/30/2021
Chelsea Boot,Declined,7/28/2022
Chess,Released as Emoji,11/16/2017
Chest compression,Declined,4/2/2024
CHEWING,Declined,7/31/2024
Chicken Nugget,Declined,7/30/2022
Chicken Sandwich,Declined,4/2/2024
Child labour,Declined,6/17/2021
Child Violence,Expired,6/17/2021
Children Playing,Expired,6/7/2018
Children Playing,Declined,10/16/2018
CHINCHILLA,Declined,8/24/2021
Chip,Declined,9/25/2018
CHIP,decline,4/2/2025
Chip (electronics),Declined,5/28/2020
ChocolateDippedStrawberry,decline ,4/2/2025
Chopsticks,Released as Emoji,1/19/2016
Chrysalis ,Declined,7/31/2024
chrysanthemum,Declined,5/7/2024
CHURROS,Declined,8/26/2021
Cicada,Expired,2/20/2018
cicada,Declined,7/26/2022
Cider of Asturias,Declined,10/4/2016
Cigar (A),Declined,4/2/2019
Cigar (B),Declined,4/2/2019
cinnamon,Declined,7/31/2024
Cinnamon Roll,Declined,7/1/2022
Cinnamon Roll,Declined,7/4/2022
CINNAMON ROLL,Declined,7/19/2022
Circuit Board,declined,4/2/2025
CITY PARK,Declined,7/26/2022
